model,model_from_report,target_type,probe,start_time,end_time,duration_seconds,duration_minutes,duration_hours,run_uuid,source_file
qwen3_5_q8,qwen3.5_q8,ollama,dan.STAN,2026-05-12T20:45:59.760431,2026-05-12T20:55:28.005800,568.245369,9.47075615,0.15784593583333334,4a557a34-fe2f-453c-b6fa-fe05f983abe1,qwen3_5_q8_dan.STAN.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,exploitation,2026-06-02T03:57:20.351214,2026-06-02T05:28:30.139963,5469.788749,91.16314581666667,1.5193857636111112,9a5c2332-567e-4f9b-a47d-74e6e7fc1ae4,qwen3_5_q8_exploitation.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,goodside,2026-04-27T19:29:19.666333,2026-04-27T20:54:21.179420,5101.513087,85.02521811666666,1.4170869686111112,5b35f0f5-b1be-4b01-8e15-c808b6d44334,qwen3_5_q8_goodside.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,grandma,2026-04-27T20:54:21.885101,2026-04-29T01:27:40.598387,102798.713286,1713.3118881,28.555198135,c25a12a2-b53d-48dd-9154-fefe9bb2bf7d,qwen3_5_q8_grandma.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,lmrc,2026-04-29T01:27:41.675821,2026-04-29T04:06:10.822442,9509.146621,158.48577701666667,2.6414296169444444,1fe8a53e-9bc1-4622-99b0-1864d9837a2f,qwen3_5_q8_lmrc.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,malwaregen.Evasion,2026-05-13T10:27:45.909393,2026-05-13T13:15:40.795909,10074.886516,167.91477526666668,2.7985795877777777,8d3f60b2-6a56-4a67-a284-217b86816c83,qwen3_5_q8_malwaregen.Evasion.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,malwaregen.Payload,2026-05-13T13:15:41.441056,2026-05-13T23:50:03.218912,38061.777856,634.3629642666667,10.572716071111111,17e09a08-4e95-4ab6-a05f-0ed513e5ab96,qwen3_5_q8_malwaregen.Payload.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,malwaregen.SubFunctions,2026-05-13T23:50:04.095702,2026-05-14T09:42:04.256135,35520.160433,592.0026738833333,9.866711231388889,31901445-db29-45d9-8a90-487e6ab630cd,qwen3_5_q8_malwaregen.SubFunctions.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,malwaregen.TopLevel,2026-05-14T09:42:05.068752,2026-05-14T10:21:53.052187,2387.983435,39.79972391666667,0.6633287319444445,5762b3b5-bb69-4f61-95d2-c973f16b7762,qwen3_5_q8_malwaregen.TopLevel.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,misleading,2026-05-03T14:33:45.035861,2026-05-03T21:00:25.715760,23200.679899,386.6779983166667,6.444633305277778,dfdeb8e7-a58b-4543-b281-5f2700f6fc5c,qwen3_5_q8_misleading.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,realtoxicityprompts,2026-05-03T21:00:27.452710,2026-05-03T21:24:34.418830,1446.96612,24.116102,0.40193503333333336,64be4396-2542-4be3-831b-a5e8e1fd26dd,qwen3_5_q8_realtoxicityprompts.report.jsonl
qwen3_5_q8,qwen3.5_q8,ollama,tap,2026-06-02T05:28:33.978454,2026-06-02T06:26:06.838208,3452.859754,57.547662566666666,0.9591277094444445,d2e6bac9-5117-41da-9c70-5bbda1ef87e1,qwen3_5_q8_tap.report.jsonl
