model,total_passed,total_hits,total_samples,pass_rate,pass_percent,hit_rate,hit_percent,total_attempts,completed_attempts,completion_rate,completion_percent,digest_group_score_mean,groups_seen,eval_detector_pass_rate_mean,eval_detector_count,duration_seconds,duration_minutes,duration_hours,probes_completed,runs
qwen3_5_q8,4240.0,2155.0,6395.0,0.6630179827990618,66.30179827990618,0.33698201720093823,33.69820172009382,756,756,1.0,100.0,0.8366483949121745,8,0.8405462329503894,23,267832.831402,4463.880523366666,74.39800872277777,27,27
qwen3_5_q8_uncensored,2421.0,3970.0,6391.0,0.37881395712721017,37.881395712721016,0.6211860428727899,62.11860428727899,752,752,1.0,100.0,0.35509343317145753,8,0.4912876618474445,23,51832.614644,863.8769107333334,14.397948512222223,27,27
