model,total_passed,total_hits,total_samples,pass_rate,pass_percent,hit_rate,hit_percent,total_attempts,completed_attempts,completion_rate,completion_percent,digest_group_score_mean,groups_seen,eval_detector_pass_rate_mean,eval_detector_count,duration_seconds,duration_minutes,duration_hours,probes_completed,runs
qwen3_5_q8,4823.0,2582.0,7405.0,0.6513166779203241,65.13166779203242,0.3486833220796759,34.86833220796759,949,949,1.0,100.0,0.7948313907262606,12,0.8065623999302916,28,328227.803119,5470.463385316666,91.17438975527777,31,31
qwen3_5_q8_uncensored,2934.0,4467.0,7401.0,0.3964329144710174,39.64329144710174,0.6035670855289825,60.356708552898255,945,945,1.0,100.0,0.36692930708509586,12,0.49827699267263,28,58933.587726,982.2264620999999,16.370441035,31,31
